Username,Repository Name,Stars,Repository URL
donnemartin,system-design-primer,353k,https://github.com/donnemartin/system-design-primer
vinta,awesome-python,303k,https://github.com/vinta/awesome-python
practical-tutorials,project-based-learning,270k,https://github.com/practical-tutorials/project-based-learning
TheAlgorithms,Python,222k,https://github.com/TheAlgorithms/Python
tensorflow,tensorflow,196k,https://github.com/tensorflow/tensorflow
Significant-Gravitas,AutoGPT,185k,https://github.com/Significant-Gravitas/AutoGPT
CyC2018,CS-Notes,185k,https://github.com/CyC2018/CS-Notes
yt-dlp,yt-dlp,171k,https://github.com/yt-dlp/yt-dlp
huggingface,transformers,162k,https://github.com/huggingface/transformers
521xueweihan,HelloGitHub,162k,https://github.com/521xueweihan/HelloGitHub
langgenius,dify,146k,https://github.com/langgenius/dify
langchain-ai,langchain,139k,https://github.com/langchain-ai/langchain
Comfy-Org,ComfyUI,117k,https://github.com/Comfy-Org/ComfyUI
justjavac,free-programming-books-zh_CN,117k,https://github.com/justjavac/free-programming-books-zh_CN
Shubhamsaboo,awesome-llm-apps,115k,https://github.com/Shubhamsaboo/awesome-llm-apps
pytorch,pytorch,101k,https://github.com/pytorch/pytorch
fastapi,fastapi,99.3k,https://github.com/fastapi/fastapi
browser-use,browser-use,99.1k,https://github.com/browser-use/browser-use
nvbn,thefuck,97.4k,https://github.com/nvbn/thefuck
rasbt,LLMs-from-scratch,97.3k,https://github.com/rasbt/LLMs-from-scratch
